City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
kijang,KR,1618537195,35.2442,129.2139,75,51,61.069999999999965,2.57
veracruz,MX,1618537196,19.3333,-96.6667,90,83,82.66999999999996,2.57
pontianak,ID,1618537196,-0.0333,109.3333,20,94,79.06999999999996,2.06
banepa,NP,1618537196,27.6298,85.5214,75,67,59.26999999999996,1.03
illoqqortoormiut,,,,,,,,
nikolskoye,RU,1618537197,59.7035,30.7861,0,56,37.66999999999996,3
immokalee,US,1618537197,26.4187,-81.4173,20,78,75.27200000000005,2.57
namatanai,PG,1618537197,-3.6667,152.4333,99,67,85.29800000000003,2.98
san patricio,US,1618537073,28.017,-97.5169,90,88,75.46999999999997,5.66
bathurst,AU,1618537016,-33.4166,149.5806,62,42,67.26199999999996,1.34
broome,US,1618537198,42.2506,-75.833,90,87,41.26999999999996,1.54
nizhneyansk,,,,,,,,
san cristobal,VE,1618537198,7.7669,-72.225,75,78,80.86999999999996,1.03
azul,AR,1618537199,-36.777,-59.8585,0,83,60.22400000000002,1.13
limbang,MY,1618537199,4.75,115,75,74,84.46999999999997,2.06
necochea,AR,1618537199,-38.5473,-58.7368,2,96,56.26400000000004,3.07
fort nelson,CA,1618537177,58.8053,-122.7002,75,24,68.26999999999995,0.27
wuwei,CN,1618537200,37.9281,102.6414,0,15,49.98200000000001,5.84
amderma,,,,,,,,
borovoy,RU,1618537200,55.4333,86.0833,0,65,43.06999999999996,5
pouebo,NC,1618537201,-20.4,164.5667,79,73,81.87799999999996,1.36
kuche,,,,,,,,
madisonville,US,1618537202,37.3281,-87.4989,1,61,48.469999999999956,2.14
geraldton,AU,1618537202,-28.7667,114.6,100,33,73.66999999999996,8.23
kaitangata,NZ,1618537202,-46.2817,169.8464,100,66,53.438000000000045,3.56
saurimo,AO,1618537184,-9.6608,20.3916,16,97,62.07799999999996,1.81
pavlovsk,RU,1618537203,50.4578,40.1081,42,91,46.561999999999955,2.37
maniitsoq,GL,1618537203,65.4167,-52.9,94,74,11.101999999999975,9.23
lukovetskiy,RU,1618537203,64.2956,41.9211,20,59,32.26999999999996,1
cayenne,GF,1618536925,4.9333,-52.3333,75,83,81.26600000000002,2.06
hasaki,JP,1618537121,35.7333,140.8333,75,51,62.86999999999996,6.17
zhigansk,RU,1618537204,66.7697,123.3711,100,92,21.758000000000003,8.51
samusu,,,,,,,,
talnakh,RU,1618537025,69.4865,88.3972,90,95,-15.267999999999986,7.66
alekseyevsk,RU,1618537205,57.8406,108.3492,100,90,30.50600000000003,8.68
umm kaddadah,SD,1618537205,13.6017,26.6876,6,10,70.86199999999997,6.39
los llanos de aridane,ES,1618537077,28.6585,-17.9182,40,73,68.26999999999995,8.23
farah,AF,1618537205,32.5,62.5,90,28,60.76400000000004,1.04
torbay,CA,1618536928,47.6666,-52.7314,90,100,34.26799999999999,8.75
shamary,RU,1618537206,57.3434,58.2199,100,91,41.80999999999998,3.5
vila franca do campo,PT,1618537129,37.7167,-25.4333,20,88,57.469999999999956,1.03
chuy,UY,1618537206,-33.6971,-53.4616,77,93,65.26400000000004,1.73
tungor,RU,1618537207,53.3808,142.9564,7,95,33.38599999999997,3.72
horta,PT,1618537207,38.5333,-28.6333,92,87,61.46600000000001,7.02
emerald,AU,1618537207,-23.5333,148.1667,0,44,84.27200000000005,2.57
botucatu,BR,1618537208,-22.8858,-48.445,20,95,59.57599999999999,2.87
le pradet,FR,1618537208,43.1066,6.0172,0,93,49.26199999999996,3.09
leningradskiy,RU,1618537208,69.3833,178.4167,94,73,31.172000000000036,4.01
itarema,BR,1618537209,-2.9248,-39.9167,91,88,77.46799999999999,4.62
tsihombe,,,,,,,,
naranjal,EC,1618537209,-2.6667,-79.6167,90,83,77.26999999999995,2.57
brahmapuri,,,,,,,,
eisenstadt,AT,1618537209,47.8457,16.5233,75,70,38.26400000000003,7.2
kysyl-syr,RU,1618537210,63.8986,122.7617,100,86,29.06600000000001,4.6
klaksvik,FO,1618537210,62.2266,-6.589,18,87,44.86999999999996,9.26
grindavik,IS,1618537210,63.8424,-22.4338,90,100,46.66999999999996,10.29
bafq,IR,1618537211,31.6128,55.4107,6,40,66.25399999999996,2.53
banda aceh,ID,1618537211,5.5577,95.3222,49,72,83.75,4.63
high level,CA,1618537211,58.5169,-117.136,20,31,59.26999999999996,2.06
mys shmidta,,,,,,,,
tayga,RU,1618537212,56.06,85.6197,0,81,41.26999999999996,6
kazalinsk,,,,,,,,
labuhan,ID,1618537212,-6.8844,112.2051,36,73,82.868,1.78
pio ix,BR,1618537213,-6.8375,-40.5792,100,75,72.37400000000002,2.94
salym,RU,1618537213,60.0625,71.4789,97,78,36.661999999999956,4.88
viedma,AR,1618537213,-40.8135,-62.9967,6,80,56.84000000000002,1.76
kuminskiy,RU,1618537214,58.6667,66.5667,77,72,39.056000000000026,4.57
adrar,MR,1618537214,20.5022,-10.0711,58,23,73.45399999999995,5.17
lebu,CL,1618537214,-37.6167,-73.65,100,87,54.57200000000004,5.5
grua,NO,1618537215,60.2667,10.6667,0,64,32.26999999999996,4.12
taksimo,RU,1618537215,56.3444,114.8794,94,59,29.44399999999997,0.24
caravelas,BR,1618537215,-17.7125,-39.2481,32,76,72.85999999999999,3.02
comodoro rivadavia,AR,1618537216,-45.8667,-67.5,0,47,59.26999999999996,3.09
obo,CF,1618537216,5.3998,26.4869,86,89,68.59399999999997,1.53
liwale,TZ,1618537216,-9.7667,37.9333,96,98,66.092,1.76
fereydun kenar,IR,1618537217,36.6864,52.5225,94,79,56.641999999999996,1.16
saint-joseph,RE,1618537095,-21.3667,55.6167,0,69,77.26999999999995,2.57
biloela,AU,1618537217,-24.4167,150.5,0,35,82.58000000000004,1.27
yulara,AU,1618537217,-25.2406,130.9889,40,45,68.26999999999995,7.72
saleaula,,,,,,,,
clyde river,CA,1618537218,70.4692,-68.5914,40,85,5.269999999999957,14.92
gizo,SB,1618537218,-8.103,156.8419,39,71,85.15399999999995,1.79
tuxpan,MX,1618537218,19.55,-103.4,1,59,65.91199999999995,1.89
buala,SB,1618537219,-8.145,159.5921,40,72,84.93800000000005,1.91
tabuk,PH,1618537219,17.4189,121.4443,84,61,86.108,1.24
isangel,VU,1618537219,-19.55,169.2667,75,79,84.46999999999997,3.6
susehri,TR,1618537220,40.1644,38.0867,94,74,46.47200000000004,1.81
nizhnyaya tura,RU,1618537220,58.6293,59.8118,79,74,36.48200000000001,2.38
skalistyy,,,,,,,,
binabalian,PH,1618537221,16.4202,119.9279,13,70,83.46199999999996,2.83
leoben,AT,1618537221,47.3461,15.1257,70,66,34.26799999999999,0.89
rungata,,,,,,,,
sohag,EG,1618537221,26.557,31.6948,0,30,66.46999999999997,2.06
tumannyy,,,,,,,,
thabazimbi,ZA,1618537222,-24.5917,27.4116,57,43,65.56999999999996,1.23
mahanoro,MG,1618537222,-19.9,48.8,100,86,75.18200000000002,1.15
kawambwa,ZM,1618537222,-9.7915,29.0791,100,96,60.92599999999999,3.02
kenai,US,1618537223,60.5544,-151.2583,90,56,44.86999999999996,7.2
gewane,ET,1618537223,10.1664,40.6453,0,48,77.77400000000002,1.85
aloleng,PH,1618537223,16.1307,119.7824,20,61,86.48599999999996,1.59
kahului,US,1618537098,20.8947,-156.47,1,54,80.86999999999996,6.69
barawe,,,,,,,,
camana,PE,1618537224,-16.6228,-72.7111,94,84,68.46799999999999,1.81
hambantota,LK,1618537224,6.1241,81.1185,20,100,73.66999999999996,1.03
barentu,ER,1618537225,15.1139,37.5928,18,46,75.2,0.79
port-gentil,GA,1618537225,-0.7193,8.7815,100,80,81.53599999999997,3.63
katsuura,JP,1618537225,35.1333,140.3,75,62,61.069999999999965,3.09
east london,ZA,1618537226,-33.0153,27.9116,100,66,64.076,8.45
lianran,CN,1618537211,24.9227,102.485,40,67,74.26400000000004,2
anadyr,RU,1618537226,64.75,177.4833,75,80,28.66999999999996,11
wewak,PG,1618537226,-3.5534,143.6268,92,67,86.16199999999995,1.75
acajutla,SV,1618537195,13.5928,-89.8275,92,90,74.26400000000004,0.45
truth or consequences,US,1618537080,33.1284,-107.2528,1,7,71.86999999999996,9.26
pringsewu,ID,1618537227,-5.3582,104.9744,100,77,80.33000000000004,0.87
siguiri,GN,1618537227,11.6667,-9.5,92,27,89.02400000000002,0.74
pacific grove,US,1618537228,36.6177,-121.9166,0,79,57.272000000000034,3.33
verkhnevilyuysk,RU,1618537228,63.4453,120.3167,100,81,28.741999999999997,5.16
ponta do sol,PT,1618537228,32.6667,-17.1,40,77,64.66999999999996,4.63
esperance,AU,1618537229,-33.8667,121.9,75,77,62.86999999999996,3.09
ust-nera,RU,1618537229,64.5667,143.2,99,80,15.29600000000005,4.08
vila velha,BR,1618537229,-20.3297,-40.2925,20,88,68.26999999999995,1.54
ayan,RU,1618537230,56.45,138.1667,0,72,34.17799999999996,3.67
virginia beach,US,1618537120,36.8529,-75.978,40,82,57.272000000000034,2.06
karatau,KZ,1618537230,43.1667,70.4667,1,57,56.19199999999999,2.51
champerico,GT,1618537230,14.3,-91.9167,62,93,69.27799999999996,4
benguela,AO,1618537231,-12.5763,13.4055,98,71,81.78800000000004,1.11
realeza,BR,1618537231,-25.7689,-53.5325,91,74,66.23599999999996,1.19
kununurra,AU,1618537116,-15.7667,128.7333,19,37,88.06999999999996,2.06
codrington,AU,1618537156,-38.2667,141.9667,100,56,56.80399999999995,3.99
saint anthony,US,1618537232,45.0205,-93.218,90,61,50.26999999999996,3.6
wajima,JP,1618537232,37.4,136.9,75,51,62.86999999999996,3.09
brae,GB,1618537087,60.3964,-1.353,40,75,43.06999999999996,5.14
tilichiki,RU,1618537232,60.4667,166.1,100,99,31.92799999999996,7.93
palana,RU,1618537233,59.1167,159.9667,100,71,26.401999999999976,7.22
khromtau,KZ,1618537233,50.2503,58.4347,10,56,45.48200000000001,2.81
tsaratanana,MG,1618537233,-16.7833,47.65,76,90,71.924,1.3
diu,IN,1618537234,20.7141,70.9822,0,71,76.83800000000005,2.44
amapa,BR,1618537234,1,-52,100,99,71.95999999999998,1.07
almaznyy,RU,1618537234,48.0448,40.045,8,93,44.86999999999996,2
lourical,PT,1618537235,40.0039,-8.7374,20,94,58.26199999999996,1.03
karratha,AU,1618537102,-20.7377,116.8463,0,42,85.36999999999996,9.17
bafra,TR,1618537235,41.5678,35.9069,90,93,51.27799999999996,1.03
tommot,RU,1618537235,58.9564,126.2925,99,77,33.008,5.55
ribeira grande,PT,1618537078,38.5167,-28.7,93,88,62.29399999999997,7.62
general salgado,BR,1618537236,-20.6483,-50.3606,87,71,70.10600000000002,3.4
tarnogskiy gorodok,RU,1618537236,60.4997,43.5761,5,85,30.46999999999996,1.89
eseka,CM,1618537237,3.65,10.7667,100,97,73.66999999999996,0.24
maneadero,MX,1618537237,31.7167,-116.5667,88,78,60.27799999999996,2.68
ekibastuz,KZ,1618537237,51.6667,75.3667,0,57,52.64600000000005,2.52
lac du bonnet,CA,1618537238,50.2536,-96.0612,98,100,39.272000000000034,2.24
